-s -r 21 128 1000 

size write_pn | k_mean k_min k_max | p_mean p_min p_max | #page_result
2^0 16756.3 | 3 3 3 | 2.898 2 3 | 2*102 3*898 
2^1 16697.9 | 3.007 3 4 | 2.933 2 3 | 2*67 3*933 
2^2 16710.2 | 3.025 3 4 | 2.913 2 4 | 2*88 3*911 4*1 
2^3 16611.7 | 3.066 3 4 | 2.943 2 3 | 2*57 3*943 
2^4 16627.6 | 3.108 3 5 | 2.926 2 4 | 2*75 3*924 4*1 
2^5 16645.5 | 3.244 3 5 | 2.944 2 4 | 2*59 3*938 4*3 
2^6 16653.5 | 3.494 3 5 | 2.935 2 4 | 2*70 3*925 4*5 
2^7 16609 | 3.99 2 5 | 2.93 2 4 | 2*87 3*896 4*17 
2^8 16650.6 | 4.005 2 5 | 2.95 2 4 | 2*73 3*904 4*23 
2^9 16629 | 4.021 2 5 | 2.984 2 4 | 2*68 3*880 4*52 
2^10 16703.8 | 4.042 2 5 | 3.056 2 4 | 2*84 3*776 4*140 
2^11 16610 | 4.129 2 5 | 3.144 2 4 | 2*37 3*782 4*181 
2^12 16644.1 | 4.259 2 5 | 3.386 2 5 | 2*26 3*574 4*388 5*12 
2^13 16622.1 | 4.464 2 5 | 3.637 2 5 | 2*28 3*380 4*519 5*73 
2^14 16580 | 4.97 3 5 | 4.082 2 5 | 2*10 3*86 4*716 5*188 
2^15 16550.5 | 4.982 3 5 | 4.19 2 5 | 2*5 3*49 4*697 5*249 
2^16 16656.8 | 4.99 3 5 | 4.571 2 5 | 2*2 3*54 4*315 5*629 
2^17 16648.3 | 4.984 3 5 | 4.843 3 5 | 3*38 4*81 5*881 
2^18 16612.8 | 4.982 3 5 | 4.853 3 5 | 3*36 4*75 5*889 
2^19 16578.5 | 4.974 3 5 | 4.856 3 5 | 3*39 4*66 5*895 
2^20 16570.5 | 4.986 3 5 | 4.873 3 5 | 3*17 4*93 5*890 
