-rfsa -r 21 128 4 2 10000 temp.txt 

size #key #page #zones
4 3 2 2
8 3 2 2
12 2 1.5 2
16 3 2 2
20 2 1.5 2
24 3 2 2
28 2 1.5 2
32 3 2 2
36 3 2 2
40 3 2 2
44 2 1.5 2
48 3 2 2
52 2 1.5 2
56 2 1.5 2
60 2 1.5 2
64 3 2 2
68 3 2 2
72 2 1.5 2
76 3 2 2
80 2 2 2
84 3 2.5 2
88 3 2 2
92 1 1 2
96 3 2 2
100 2.5 2 2
104 2 1.5 2
108 3 2 2
112 3 2.5 2
116 3 2 2
120 3 2 2
124 3 2 2
128 2 1.5 2
132 2 1.5 2
136 3 2 2
140 2 1.5 2
144 3 2 2
148 3 2 2
152 3 2 2
156 2 2 2
160 3 2 2
164 3 2 2
168 2 1.5 2
172 3 2.5 2
176 3 2.5 2
180 2 1.5 2
184 2 1.5 2
188 1 1 2
192 1.5 1.5 2
196 2 1.5 2
200 2 2 2
204 2.5 2.5 2
208 2 2 2
